TimeStamp,userid,qid,qcount,hintCount,chapter,levelofdifficulty,startTime,endTime,h1time,h2time,diffh1,diffh2,wrongCount,wronghintcount,score,time
48:22.0,10,AE3,3,0,Algebra,Easy,48:04.2,48:21.3,0,0,0,0,0,0,25,00:17.1
48:43.1,10,AE3,4,0,Algebra,Easy,48:24.6,48:42.4,0,0,0,0,0,0,25,00:17.7
49:33.5,10,FI1,1,0,Fraction,Intermediate,48:24.6,49:32.5,0,0,0,0,1,0,24,01:07.9
49:58.9,10,FI1,2,1,Fraction,Intermediate,48:24.6,49:58.1,49:40.0,0,00:18.0,0,0,0,20,01:33.4
21:58.9,8,FI1,1,2,Fraction,Intermediate,06:56.1,21:58.1,15:31.9,17:47.5,06:26.2,04:10.6,1,0,14,15:02.0
22:37.0,8,FI1,2,0,Fraction,Intermediate,06:56.1,22:35.2,0,0,0,0,0,0,25,15:39.1
23:01.1,8,FI1,3,0,Fraction,Intermediate,06:56.1,23:00.2,0,0,0,0,0,0,25,16:04.1
23:24.7,8,FI1,4,0,Fraction,Intermediate,06:56.1,23:23.9,0,0,0,0,0,0,25,16:27.8
47:39.6,10,AE3,1,1,Algebra,Easy,47:04.0,47:38.9,47:25.7,0,00:13.2,0,1,0,18,00:34.9
48:02.1,10,AE3,2,0,Algebra,Easy,47:42.2,48:01.5,0,0,0,0,0,0,25,00:19.3
48:22.0,10,AE3,3,0,Algebra,Easy,48:04.2,48:21.3,0,0,0,0,0,0,25,00:17.1
48:43.1,10,AE3,4,0,Algebra,Easy,48:24.6,48:42.4,0,0,0,0,0,0,25,00:17.7
49:33.5,10,FI1,1,0,Fraction,Intermediate,48:24.6,49:32.5,0,0,0,0,1,0,24,01:07.9
49:58.9,10,FI1,2,1,Fraction,Intermediate,48:24.6,49:58.1,49:40.0,0,00:18.0,0,0,0,20,01:33.4
21:58.9,8,FI1,1,2,Fraction,Intermediate,06:56.1,21:58.1,15:31.9,17:47.5,06:26.2,04:10.6,1,0,14,15:02.0
22:37.0,8,FI1,2,0,Fraction,Intermediate,06:56.1,22:35.2,0,0,0,0,0,0,25,15:39.1
23:01.1,8,FI1,3,0,Fraction,Intermediate,06:56.1,23:00.2,0,0,0,0,0,0,25,16:04.1
23:24.7,8,FI1,4,0,Fraction,Intermediate,06:56.1,23:23.9,0,0,0,0,0,0,25,16:27.8
